URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/medicationknowledge-characteristic,4.0.1,draft,"2.16.840.1.113883.4.642.3.1337",medicationKnowledge Characteristic Codes,Medication knowledge  characteristic  codes,"MedicationKnowledge Characteristic Codes","StructureDefinition/fr-drug-characteristic","THO"
https://interop.esante.gouv.fr/ig/fhir/eprescription/ValueSet/FrMethodOfAdministration,1.1.0-ballot,draft,,FrMethodOfAdministration,French Method Of Administration,"Le jeu de valeurs à utiliser pour coder l'élément *dosageInstruction.method* de la ressource *FRMedicationRequest*.","StructureDefinition/fr-medicationrequest","Other"
https://interop.esante.gouv.fr/ig/fhir/eprescription/ValueSet/fr-additional-action-relationship-type-value-set,1.1.0-ballot,draft,,FrAdditionalRequestGroupRelationshipValueSet,Interop'Santé value set - Additional codes for relationship between action,"Codes to specify relationship between action in a RequestGroup that are not in the valueSet http://hl7.org/fhir/ValueSet/action-relationship-type.","StructureDefinition/fr-additional-action-relationship","Internal"
https://interop.esante.gouv.fr/ig/fhir/eprescription/ValueSet/fr-additional-when-codes-vs,1.1.0-ballot,draft,,FrAdditionalWhenCodesValueSet,value set Interop'Santé - Codes additionnels pour l'élément when,"Le jeu de valeurs à utiliser pour coder des périodes d'occurrence qui ne sont pas dans le jeu de valeurs http://hl7.org/fhir/ValueSet/event-timing.","StructureDefinition/fr-additional-when-values","Internal"
https://interop.esante.gouv.fr/ig/fhir/eprescription/ValueSet/fr-inpatient-medication-code,1.1.0-ballot,draft,,FRInpatientMedicationCodes,value set Interop'Santé - Codes identifiant les médicaments destinés à être prescrits en milieu hospitalier,"Le jeu de valeurs à utiliser pour indiquer le médicament dans Medication.code.coding.code","StructureDefinition/fr-inpatient-medicationrequest","Other"
https://interop.esante.gouv.fr/ig/fhir/eprescription/ValueSet/fr-medication-code,1.1.0-ballot,draft,,FRMedicationCodes,value set Interop'Santé - Codes identifiant les médicaments,"Le jeu de valeurs à utiliser pour indiquer le médicament dans Medication.code.coding.code","StructureDefinition/fr-medication-noncompound,StructureDefinition/fr-medicationrequest","Other"
https://interop.esante.gouv.fr/ig/fhir/eprescription/ValueSet/fr-mp-dose-form,1.1.0-ballot,draft,,FrMpDoseForm,French Medicinal product Dose form,"Le jeu de valeurs à utiliser pour coder l'élément *doseForm* des ressources *FrMedication*.","StructureDefinition/fr-medication-compound,StructureDefinition/fr-medication-noncompound","Other"
https://interop.esante.gouv.fr/ig/fhir/eprescription/ValueSet/fr-note-scope-codes-vs,1.1.0-ballot,draft,,FrNoteScopeCodeValueSet,value set Interop'Santé - Codes pour le périmètre des notes,"Le jeu de valeurs à utiliser pour coder le périmètre des notes par exemple lors de la transformation de message PN13 en ressources FHIR","StructureDefinition/fr-medicationrequest-note-scope","Internal"
https://interop.esante.gouv.fr/ig/fhir/eprescription/ValueSet/fr-route-of-administration,1.1.0-ballot,draft,,FrRouteOfAdministration,French Route of Administration,"Le jeu de valeurs à utiliser pour coder l'élément *dosageInstruction.route* de la ressource *FRMedicationRequest*.","StructureDefinition/fr-medicationrequest","Other"
https://interop.esante.gouv.fr/ig/fhir/eprescription/ValueSet/fr-substance-code,1.1.0-ballot,draft,,FrSubstanceCode,value set Interop'Santé - Codes identifiant les substances,"Le jeu de valeurs à utiliser pour indiquer un ingrédient composant un médicament dans Medication.ingredient.itemCodeableConcept.coding.code","StructureDefinition/fr-mp-substance","Other"
https://interop.esante.gouv.fr/ig/fhir/eprescription/ValueSet/fr-treatment-intent,1.1.0-ballot,draft,,FrTreatmentIntent,French overall intention of the treatment,"Le jeu de valeurs à utiliser pour coder l'élément *treatmentIntent* de la ressource *FRInpatientMedicationRequest*.","StructureDefinition/fr-treatment-intent","SCT"
https://interop.esante.gouv.fr/ig/fhir/eprescription/ValueSet/fr-uf-role-code-for-prescription,1.1.0-ballot,draft,,FrUfRoleCodesForPrescriptionValueSet,value set Interop'Santé - Types de rôle d’une UF par rapport à un séjour patient dans une prescription,"Le jeu de valeurs à utiliser dans l'extension pour indiquer le type d'UF référencée dans Medication.supportingInfo","StructureDefinition/fr-uf-role","Internal"
